image_name,x1,x2,y1,y2
JPEG_20161126_170155_1000405151291.png,242,382,27,380
1468882078451DSC_0174.png,84,573,52,426
1476780144718DSC_6884.png,131,517,227,338
147921623760017.png,62,606,33,437
1467893574549DSC_0240.png,210,447,84,440
JPEG_20161016_121423_1000517540282.png,55,597,156,416
JPEG_20161120_161543_1000250316037.png,148,553,112,380
1468412891834DSC_0061.png,32,565,21,465
1480655101618westernpot-500x500.png,44,520,0,471
1473315355522DeeplearnS11643.png,0,559,60,440
1474639063095DSC06435.png,114,515,108,308
JPEG_20161005_110330_1000728273684.png,9,603,193,306
1470300027536DSC_0558.png,263,388,138,366
1467979178064DSC_0520.png,28,640,29,445
147394316574011470827805212-Roadster-Grey--Navy-Henley-T-shirt-8821470827804918-2.png,0,635,123,382
1473665082935DeeplearnS11406.png,98,640,0,428
JPEG_20161121_195534_1000348512091.png,87,491,36,419
147742625522020161025_141840.png,143,473,40,300
1478782710357IMG_8990.png,33,640,80,369
JPEG_20161123_201701_1000853213252.png,63,561,164,344
1472044956761DSC_0452.png,120,492,48,425
147436779734211466508530507-RDSTR-Blue-Washed-Casual-Shirt-8761466508530121-2.png,0,640,108,402
1458183604746DSC_0379.png,229,419,80,406
JPEG_20160625_155701_1000330383263.png,1,529,16,452
1470213843877DSC_0351.png,286,387,196,315
JPEG_20160621_122128_1000264526953.png,209,448,111,399
1472547795996DSC_1935.png,203,613,152,353
1470390581551DSC_0810.png,184,432,150,344
JPEG_20161126_143944_1000210038740.png,0,640,68,357
JPEG_20161028_142253_1000169351312.png,47,592,146,355
1480675202975DSC_3188.png,27,603,49,431
1474711764670DSC07407.png,9,610,108,360
JPEG_20161102_111233_1000748290882.png,26,612,56,469
1470718777308DSC_0169.png,142,554,34,454
1475151126726DSC00595.png,83,580,162,424
1468495341824DSC_0191.png,120,446,56,351
1467894278200DSC_0822.png,177,450,85,327
1478949593658eMazingShawls0059.png,31,622,15,348
147742437141020161025_143728.png,49,458,168,390
1473931222694ANG989843.png,117,537,168,417
1479453792953Sin16-11-201611444.png,17,593,114,334
1476771890063DSC_8893.png,99,511,169,347
1469437144269DSC_0076.png,96,547,187,290
JPEG_20161117_121331_1000887374414.png,74,486,133,363
1473315190822DeeplearnS11565.png,71,573,192,334
JPEG_20160709_114837_1000497741033.png,142,352,64,413
JPEG_20160625_123506_1000623024330.png,224,556,95,393
1473418037060black-meadow-cut-out-skater-dress2.png,0,640,140,325
147742531232620161025_163543.png,53,523,59,375
1473665111103DeeplearnS122.png,113,516,27,480
14583339171352.png,159,481,196,288
JPEG_20160624_131008_1000989473891.png,60,548,145,383
1458173414431DSC_0493.png,124,512,113,389
JPEG_20160526_145408_1000758259080.png,19,586,103,436
JPEG_20160924_144107_100024138787.png,174,511,130,416
JPEG_20160704_140912_1000703952125.png,121,488,162,321
1473665073259DeeplearnS111337.png,169,434,9,450
1474271507082TOP893028.png,102,490,77,373
JPEG_20161124_131201_1000840746304.png,236,411,131,383
1481267204386DSC_0608.png,34,620,24,445
1471457071725DSC_0080.png,0,562,65,431
147742575285820161025_162103.png,32,593,31,440
1473314863768DeeplearnS11125.png,120,491,0,480
14583340191084a.png,87,554,117,364
1474715784062DSC07781.png,51,595,99,361
1473317436855DeeplearnS122.png,122,517,23,480
JPEG_20161202_161848_1000551968749.png,93,551,30,425
1475058328901DSC02357.png,28,592,104,381
JPEG_20160526_141812_1000240981802.png,72,457,50,412
JPEG_20160422_125719_1000725537850.png,0,485,10,480
1473417968095black-lily-tie-back-maxi-dress2.png,7,631,153,351
1474290118147lavender-alayna-lace-bodycon-dress4.png,0,640,95,359
1474273544291MS-8502382.png,0,640,126,480
1480512007662IMG_0136.png,134,609,62,247
1472286808017DSC_1593.png,53,560,61,436
1468882010426DSC_0148.png,89,411,154,320
1476779793062DSC_6453.png,142,497,130,360
1472287217276DSC_1730.png,30,614,12,474
JPEG_20160709_115125_1000319938157.png,159,444,131,336
JPEG_20160630_152928_1000440052915.png,122,544,184,314
1470745848918DSC_0244.png,0,630,0,480
